Time;Lizards;Predators;Vegetation;Competitors
0,01;80;0;13;0
0,02;80;0;13;0
0,03;80;0;13;0
0,04;80;0;13;0
0,05;80;0;25;0
0,06;80;0;21;0
0,07;80;0;19;0
0,08;80;0;17;0
0,09;80;0;33;0
0,10;80;0;26;0
0,11;80;0;24;0
0,12;80;0;23;0
0,13;80;0;46;0
0,14;80;0;42;0
0,15;80;0;39;0
0,16;80;0;36;0
0,17;80;0;52;0
0,18;80;0;49;0
0,19;80;0;45;0
0,20;84;0;44;0
0,21;84;0;43;0
0,22;84;0;55;0
0,23;84;0;52;0
0,24;84;0;50;0
0,25;84;0;46;0
0,26;84;0;66;0
0,27;84;0;65;0
0,28;84;0;63;0
0,29;84;0;60;0
0,30;84;0;75;0
0,31;84;0;74;0
0,32;84;0;72;0
0,33;88;0;70;0
0,34;87;0;83;0
0,35;87;0;79;0
0,36;87;0;79;0
0,37;87;0;78;0
0,38;87;0;98;0
0,39;91;0;95;0
0,40;95;0;93;0
0,41;95;0;92;0
0,42;95;0;91;0
0,43;94;0;107;0
0,44;98;0;106;0
0,45;98;0;103;0
0,46;98;0;100;0
0,47;98;0;117;0
0,48;98;0;115;0
0,49;98;0;112;0
0,50;98;0;112;0
0,51;102;0;130;0
0,52;102;0;123;0
0,53;102;0;120;0
0,54;102;0;120;0
0,55;106;0;137;0
0,56;110;0;136;0
0,57;110;0;128;0
0,58;110;0;125;0
0,59;110;0;119;0
0,60;114;0;136;0
0,61;114;0;132;0
0,62;114;0;131;0
0,63;114;0;127;0
0,64;114;0;146;0
0,65;118;0;140;0
0,66;118;0;137;0
0,67;122;0;131;0
0,68;122;0;149;0
0,69;122;0;147;0
0,70;122;0;143;0
0,71;122;0;139;0
0,72;126;0;158;0
0,73;126;0;156;0
0,74;125;0;153;0
0,75;125;0;153;0
0,76;125;0;168;0
0,77;125;0;167;0
0,78;129;0;166;0
0,79;129;0;158;0
0,80;133;0;152;0
0,81;133;0;171;0
0,82;137;0;168;0
0,83;137;0;163;0
0,84;141;0;159;0
0,85;144;0;174;0
0,86;144;0;167;0
0,87;143;0;162;0
0,88;143;0;157;0
0,89;143;0;174;0
0,90;143;0;173;0
0,91;143;0;172;0
0,92;143;0;171;0
0,93;143;0;188;0
0,94;147;0;184;0
0,95;146;0;183;0
0,96;145;0;180;0
0,97;148;0;179;0
0,98;148;0;194;0
0,99;148;0;189;0
1,00;148;0;186;0
1,01;148;0;182;0
1,02;148;0;197;0
1,03;148;0;195;0
1,04;148;0;193;0
1,05;148;0;187;0
1,06;148;0;208;0
1,07;148;0;206;0
1,08;147;0;203;0
1,09;151;0;197;0
1,10;150;0;210;0
1,11;154;0;206;0
1,12;162;0;203;0
1,13;162;0;201;0
1,14;162;0;214;0
1,15;162;0;211;0
1,16;161;0;209;0
1,17;160;0;202;0
1,18;160;0;196;0
1,19;160;0;216;0
1,20;160;0;215;0
1,21;158;0;211;0
1,22;158;0;209;0
1,23;158;0;228;0
1,24;162;0;224;0
1,25;162;0;220;0
1,26;161;0;218;0
1,27;161;0;243;0
1,28;165;0;237;0
1,29;165;0;234;0
1,30;169;0;229;0
1,31;173;0;246;0
1,32;173;0;242;0
1,33;173;0;239;0
1,34;173;0;237;0
1,35;172;0;247;0
1,36;171;0;244;0
1,37;171;0;241;0
1,38;171;0;235;0
1,39;171;0;233;0
1,40;171;0;255;0
1,41;171;0;254;0
1,42;171;0;251;0
1,43;171;0;247;0
1,44;171;0;263;0
1,45;170;0;262;0
1,46;169;0;259;0
1,47;168;0;258;0
1,48;174;0;271;0
1,49;174;0;270;0
1,50;173;0;262;0
1,51;173;0;261;0
1,52;173;0;277;0
1,53;172;0;275;0
1,54;172;0;275;0
1,55;172;0;268;0
1,56;176;0;284;0
1,57;176;0;280;0
1,58;175;0;279;0
1,59;174;0;275;0
1,60;181;0;270;0
1,61;193;0;274;0
1,62;193;0;268;0
1,63;193;0;266;0
1,64;193;0;264;0
1,65;193;0;276;0
1,66;201;0;274;0
1,67;204;0;269;0
1,68;204;0;265;0
1,69;204;0;283;0
1,70;212;0;279;0
1,71;216;0;268;0
1,72;215;0;263;0
1,73;215;0;278;0
1,74;219;0;276;0
1,75;219;0;266;0
1,76;219;0;261;0
1,77;219;0;283;0
1,78;218;0;279;0
1,79;218;0;268;0
1,80;229;0;255;0
