Time;Lizards;Predators;Vegetation;Competitors
0,01;80;0;94;0
0,02;80;0;94;0
0,03;80;0;91;0
0,04;80;0;90;0
0,05;80;0;117;0
0,06;80;0;114;0
0,07;80;0;112;0
0,08;80;0;111;0
0,09;80;0;141;0
0,10;80;0;140;0
0,11;80;0;138;0
0,12;80;0;137;0
0,13;80;0;175;0
0,14;80;0;173;0
0,15;80;0;170;0
0,16;80;0;163;0
0,17;84;0;199;0
0,18;83;0;190;0
0,19;87;0;185;0
0,20;87;0;185;0
0,21;87;0;180;0
0,22;86;0;197;0
0,23;86;0;196;0
0,24;89;0;194;0
0,25;89;0;191;0
0,26;89;0;206;0
0,27;89;0;202;0
0,28;89;0;196;0
0,29;88;0;188;0
0,30;91;0;190;0
0,31;90;0;188;0
0,32;90;0;185;0
0,33;90;0;170;0
0,34;90;0;166;0
0,35;89;0;161;0
0,36;89;0;158;0
0,37;93;0;150;0
0,38;97;0;137;0
0,39;97;0;137;0
0,40;97;0;128;0
0,41;101;0;123;0
0,42;101;0;123;0
0,43;101;0;130;0
0,44;101;0;130;0
0,45;101;0;127;0
0,46;101;0;127;0
0,47;101;0;134;0
0,48;101;0;120;0
0,49;101;0;116;0
0,50;101;0;113;0
0,51;105;0;122;0
0,52;105;0;122;0
0,53;104;0;117;0
0,54;104;0;112;0
0,55;104;0;125;0
0,56;108;0;121;0
0,57;112;0;119;0
0,58;112;0;108;0
0,59;112;0;101;0
0,60;112;0;108;0
0,61;111;0;106;0
0,62;111;0;101;0
0,63;111;0;99;0
0,64;111;0;113;0
0,65;111;0;110;0
0,66;115;0;103;0
0,67;119;0;92;0
0,68;119;0;101;0
0,69;119;0;99;0
0,70;119;0;97;0
0,71;119;0;95;0
0,72;119;0;108;0
0,73;119;0;105;0
0,74;123;0;94;0
0,75;123;0;94;0
0,76;125;0;93;0
0,77;125;0;99;0
0,78;129;0;93;0
0,79;129;0;92;0
0,80;129;0;90;0
0,81;128;0;96;0
0,82;132;0;94;0
0,83;132;0;93;0
0,84;131;0;92;0
0,85;131;0;105;0
0,86;131;0;103;0
0,87;131;0;100;0
0,88;131;0;97;0
0,89;131;0;113;0
0,90;129;0;109;0
0,91;132;0;107;0
0,92;132;0;105;0
0,93;130;0;117;0
0,94;130;0;112;0
0,95;128;0;111;0
0,96;125;0;109;0
0,97;123;0;106;0
0,98;120;0;115;0
0,99;120;0;108;0
1,00;119;0;105;0
1,01;118;0;98;0
1,02;118;0;107;0
1,03;117;0;97;0
1,04;121;0;91;0
1,05;121;0;85;0
1,06;121;0;96;0
1,07;121;0;93;0
1,08;129;0;89;0
1,09;128;0;86;0
1,10;128;0;98;0
1,11;128;0;91;0
1,12;128;0;90;0
1,13;126;0;86;0
1,14;125;0;85;0
1,15;125;0;102;0
1,16;124;0;96;0
1,17;128;0;95;0
1,18;128;0;92;0
1,19;127;0;103;0
1,20;127;0;99;0
1,21;127;0;96;0
1,22;126;0;94;0
1,23;134;0;104;0
1,24;133;0;98;0
1,25;136;0;95;0
1,26;140;0;95;0
1,27;142;0;106;0
1,28;140;0;101;0
1,29;140;0;95;0
1,30;140;0;94;0
1,31;137;0;104;0
1,32;137;0;100;0
1,33;134;0;98;0
1,34;137;0;96;0
1,35;141;0;93;0
1,36;141;0;103;0
1,37;140;0;100;0
1,38;144;0;99;0
1,39;144;0;98;0
1,40;144;0;107;0
1,41;142;0;102;0
1,42;142;0;98;0
1,43;142;0;94;0
1,44;142;0;113;0
1,45;141;0;102;0
1,46;141;0;100;0
1,47;140;0;100;0
1,48;144;0;114;0
1,49;144;0;108;0
1,50;142;0;104;0
1,51;150;0;104;0
1,52;149;0;104;0
1,53;149;0;111;0
1,54;152;0;102;0
1,55;151;0;91;0
1,56;155;0;84;0
1,57;154;0;93;0
1,58;154;0;86;0
1,59;151;0;83;0
1,60;150;0;82;0
1,61;149;0;91;0
1,62;149;0;87;0
1,63;148;0;86;0
1,64;148;0;84;0
1,65;152;0;91;0
1,66;155;0;80;0
1,67;167;0;72;0
1,68;166;0;66;0
1,69;166;0;72;0
1,70;163;0;62;0
1,71;163;0;57;0
1,72;162;0;57;0
1,73;168;0;70;0
1,74;170;0;64;0
1,75;169;0;61;0
1,76;172;0;59;0
1,77;172;0;58;0
1,78;168;0;68;0
1,79;168;0;61;0
1,80;168;0;59;0
1,81;167;0;59;0
1,82;171;0;72;0
1,83;173;0;66;0
1,84;171;0;64;0
1,85;170;0;62;0
1,86;168;0;69;0
1,87;171;0;61;0
1,88;170;0;59;0
1,89;173;0;59;0
1,90;170;0;73;0
1,91;169;0;69;0
1,92;167;0;62;0
1,93;169;0;60;0
1,94;168;0;74;0
1,95;168;0;65;0
1,96;169;0;61;0
1,97;165;0;58;0
1,98;164;0;52;0
1,99;163;0;58;0
2,00;161;0;47;0
2,01;159;0;46;0
2,02;162;0;46;0
2,03;162;0;56;0
2,04;161;0;49;0
2,05;161;0;48;50
2,06;157;0;47;50
2,07;156;0;58;55
2,08;156;0;53;55
2,09;154;0;51;55
2,10;158;0;47;55
2,11;155;0;62;58
2,12;155;0;51;57
2,13;154;0;42;57
2,14;157;0;38;57
2,15;154;0;34;57
2,16;160;0;43;61
2,17;160;0;39;59
2,18;160;0;38;59
2,19;158;0;37;59
2,20;157;0;51;63
2,21;156;0;42;63
2,22;153;0;42;62
2,23;156;0;41;62
2,24;150;0;47;64
2,25;149;0;38;61
2,26;150;0;32;60
2,27;154;0;32;57
2,28;158;0;41;56
2,29;154;0;37;53
2,30;151;0;34;52
2,31;149;0;34;51
2,32;148;0;34;51
2,33;148;0;38;52
2,34;151;0;35;48
2,35;149;0;35;48
2,36;140;0;35;47
2,37;142;0;37;46
2,38;141;0;36;44
2,39;141;0;36;42
2,40;140;0;36;38
2,41;139;0;42;38
2,42;138;0;36;34
2,43;136;0;36;34
2,44;133;0;36;32
2,45;129;0;43;32
2,46;127;0;38;29
2,47;126;0;35;29
2,48;121;0;34;28
2,49;123;0;32;26
2,50;121;0;35;28
2,51;118;0;34;28
2,52;112;0;32;28
2,53;116;0;32;25
2,54;114;0;38;25
2,55;108;0;38;24
2,56;108;0;38;24
2,57;106;0;37;24
2,58;113;0;40;23
2,59;110;0;36;21
2,60;109;0;36;21
2,61;107;0;36;21
2,62;107;0;39;23
2,63;104;0;37;23
2,64;101;0;30;23
2,65;103;0;23;23
2,66;100;0;29;25
2,67;100;0;22;25
2,68;98;0;21;25
2,69;93;0;20;25
2,70;93;0;20;25
2,71;93;0;22;26
2,72;93;0;22;26
2,73;90;0;21;25
2,74;89;0;20;24
2,75;88;0;22;23
2,76;89;0;21;23
2,77;88;0;21;21
2,78;87;0;21;21
2,79;86;0;24;21
2,80;85;0;22;21
2,81;83;0;22;21
2,82;82;0;22;21
2,83;78;0;26;22
2,84;76;0;25;21
2,85;74;0;22;21
2,86;77;0;21;21
2,87;77;0;20;20
2,88;76;0;23;20
2,89;73;0;21;20
2,90;71;0;21;19
2,91;69;0;20;19
2,92;66;0;22;19
2,93;64;0;22;18
2,94;63;0;20;18
2,95;62;0;20;17
2,96;60;0;24;18
2,97;64;0;23;18
2,98;62;0;22;18
2,99;60;0;21;18
3,00;58;0;25;18
3,01;61;0;25;18
3,02;59;0;23;17
3,03;59;0;23;17
3,04;57;0;25;17
3,05;55;0;24;16
3,06;55;0;23;16
3,07;55;0;23;16
3,08;53;0;23;16
3,09;53;0;26;18
3,10;53;0;25;18
3,11;53;0;24;18
3,12;53;0;24;18
3,13;52;0;26;18
3,14;51;0;25;18
3,15;49;0;24;17
3,16;49;0;24;17
3,17;49;0;26;16
3,18;49;0;26;16
3,19;48;0;26;16
3,20;51;0;25;16
3,21;50;0;29;16
3,22;49;0;27;16
3,23;53;0;26;16
3,24;57;0;26;16
3,25;57;0;35;15
3,26;61;0;28;15
3,27;65;0;27;15
3,28;64;0;25;15
3,29;64;0;23;15
3,30;64;0;25;15
3,31;64;0;25;15
3,32;63;0;23;15
3,33;62;0;22;14
3,34;61;0;26;15
3,35;60;0;23;14
3,36;60;0;23;14
3,37;64;0;22;13
3,38;63;0;25;14
3,39;63;0;24;14
3,40;63;0;24;14
3,41;63;0;23;14
3,42;63;0;26;15
3,43;62;0;24;15
3,44;62;0;22;15
3,45;62;0;22;15
3,46;59;0;22;15
3,47;59;0;26;15
3,48;58;0;25;15
3,49;57;0;24;15
3,50;57;0;24;15
3,51;57;0;26;15
3,52;56;0;25;15
3,53;56;0;23;15
3,54;55;0;23;15
3,55;53;0;26;18
3,56;52;0;24;18
3,57;52;0;24;18
3,58;52;0;24;18
3,59;52;0;28;19
3,60;51;0;26;19
3,61;51;0;26;19
3,62;50;0;26;19
3,63;49;0;37;21
3,64;49;0;28;21
3,65;49;0;27;21
3,66;48;0;27;21
3,67;48;0;26;21
3,68;45;0;30;21
3,69;42;0;30;21
3,70;41;0;29;20
3,71;41;0;29;20
3,72;41;0;34;21
3,73;41;0;32;19
3,74;41;0;31;19
3,75;41;0;31;19
3,76;40;0;37;19
3,77;40;0;37;18
3,78;40;0;35;18
3,79;40;0;35;18
3,80;40;0;40;18
3,81;39;0;39;18
3,82;39;0;34;18
3,83;39;0;34;17
3,84;39;0;34;17
3,85;39;0;35;18
3,86;39;0;34;18
3,87;38;0;33;17
3,88;36;0;33;16
3,89;36;0;36;18
3,90;35;0;35;18
3,91;35;0;35;18
3,92;35;0;35;17
3,93;34;0;38;17
3,94;34;0;37;17
3,95;33;0;35;17
3,96;32;0;34;17
3,97;32;0;38;17
3,98;32;0;37;17
3,99;32;0;35;17
4,00;32;0;35;17
4,01;32;0;45;17
4,02;31;0;38;17
4,03;31;0;38;17
4,04;31;0;35;17
4,05;31;0;35;17
4,06;31;0;37;18
4,07;31;0;36;18
4,08;31;0;35;17
4,09;31;0;35;17
4,10;31;0;38;17
4,11;31;0;37;17
4,12;31;0;35;17
4,13;31;0;35;17
4,14;31;0;38;17
4,15;31;0;37;17
4,16;31;0;35;17
4,17;31;0;35;16
4,18;31;0;38;16
4,19;31;0;37;16
4,20;31;0;37;15
4,21;31;0;36;15
4,22;30;0;36;15
4,23;30;0;31;14
4,24;30;0;24;14
4,25;30;0;20;14
4,26;30;0;20;14
4,27;30;0;23;17
4,28;30;0;23;17
4,29;30;0;21;17
4,30;30;0;21;16
4,31;30;0;25;17
4,32;30;0;25;17
4,33;29;0;23;17
4,34;28;0;22;17
4,35;32;0;25;17
4,36;32;0;24;17
4,37;31;0;23;17
4,38;35;0;23;17
4,39;35;0;22;17
4,40;35;0;26;18
4,41;35;0;25;18
4,42;35;0;25;18
4,43;35;0;25;18
4,44;35;0;28;18
4,45;35;0;28;17
4,46;35;0;28;16
4,47;35;0;27;16
4,48;35;0;30;16
4,49;35;0;28;16
4,50;34;0;28;16
4,51;34;0;28;16
4,52;34;0;29;16
4,53;38;0;29;16
4,54;38;0;29;16
4,55;38;0;29;15
4,56;37;0;39;14
4,57;37;0;33;14
4,58;37;0;33;14
4,59;37;0;32;13
4,60;36;0;32;13
4,61;36;0;37;15
4,62;35;0;36;15
4,63;34;0;36;15
4,64;33;0;35;15
4,65;33;0;42;14
4,66;33;0;41;14
4,67;32;0;41;14
4,68;32;0;41;14
4,69;32;0;49;14
4,70;32;0;49;13
4,71;32;0;48;13
4,72;31;0;48;13
4,73;31;0;57;14
4,74;31;0;56;14
4,75;30;0;56;14
4,76;30;0;56;14
4,77;30;0;55;14
